,Clave,Descripción,Existencia,Unidad
839,BGS-7911,Desarmador de Cruz PH1 Barra Hexagonal,0.0,PIEZA
840,BGS-7912,Desarmador de Cruz PH2 Barra Hexagonal,0.0,PIEZA
841,BGS-7913,Desarmador de Cruz PH2 Barra Hexagonal,0.0,PIEZA
842,BGS-7914,Desarmador de Cruz PH3 Barra Hexagonal,0.0,PIEZA
843,BGS-7915,Desarmador de Cruz PH4 Barra Hexagonal,0.0,PIEZA
844,BGS-7917,Desarmador Plano 5x75mm con Hexagono,0.0,PIEZA
845,BGS-7919,Desarmador Plano 6x100mm con Hexagono,0.0,PIEZA
846,BGS-794,Juego de Llaves Torx de Seguridad 9pzas,0.0,JGO
847,BGS-7975,Navajas Trapezoidales 0.5x12mm 5pzas,0.0,JGO
848,BGS-799,Llaves Hexagonales Largas 9pzas,0.0,JGO
849,BGS-8007,Kit de Prueba de Presión de Aceite,0.0,JGO
850,BGS-8008,Probador de Compresión p/Motores Diesel,0.0,JGO
851,BGS-8009,Jgo. de Desconectores de Manguera 7pzas,2.0,JGO
852,BGS-8015,Herramientas para Montaje 220mm 2pzas,0.0,JGO
853,BGS-8025,Medidor de Contornos 260mm,0.0,PIEZA
854,BGS-8027,Probador de Radiador y Sistema de A/C,0.0,JGO
855,BGS-8031,Embudo Multiproposito 140mm,0.0,PIEZA
856,BGS-8038,"Vacuómetro, Bomba d/Vacío, Purgador Fren",0.0,JGO
857,BGS-8043,Pasadores 2.4-4mm 105pzas,0.0,JGO
858,BGS-8045,Juego de O'rings 3-50mm 419pzas,0.0,JGO
859,BGS-8046,Anillos de Retención Exteriores 300pzas,0.0,JGO
860,BGS-8048,Pasadores de Púa (Chavetas),0.0,JGO
861,BGS-8061,"Juego de O´rings 1/8"" a 2"" 419pzas",0.0,JGO
862,BGS-8080,Purgador de Frenos Profesional 2pzas,0.0,JGO
863,BGS-8126,Fusibles para Automovil 97pzas,0.0,PIEZA
864,BGS-8127,Fusibles Maxi para Automovil 24pzas,0.0,PIEZA
865,BGS-8129,Juego de Grapas para Automóvil 255pzas,3.0,JGO
866,BGS-8132,Sellos O´ring de Cobre MM 75pzas,0.0,JGO
867,BGS-8140,Trabador para VAG,1.0,JGO
868,BGS-8144,Sellos O´ring de Cobre para Carter,0.0,JGO
869,BGS-8150,Llave Tensora de Correa Dentada VW/Audi,0.0,PIEZA
870,BGS-8154,Trabador para Motores Renault,0.0,JGO
871,BGS-8156,Trabador Master para Ford,0.0,JGO
872,BGS-8156-MX,Trabador de Motores FORD 4.0 SOHC 12V,0.0,JGO
873,BGS-8159-16,"Llave Tensora para Fiat, Alfa, Lancia",0.0,PIEZA
874,BGS-8203,"Adaptador 1/4"" para Puntas de 1/4""",0.0,PIEZA
875,BGS-8215,Trabador para Ford Zetec 5pzas,0.0,JGO
876,BGS-8216,Trabador para VW Diesel,0.0,JGO
877,BGS-8218,Trabador para Ford Fiesta / Focus,10.0,JGO
878,BGS-8219,Trabador para VAG 7pzas,0.0,JGO
879,BGS-8224,"Instalador de Retenes de Cigüeñal, Árbol",0.0,JGO
880,BGS-8243,Trabador de Árbol de Levas,3.0,JGO
881,BGS-8244,Extractor de Inyectores CDI en Mercedes,0.0,JGO
882,BGS-8246,Barra Telescopica para Capos o Cofres,0.0,PIEZA
883,BGS-8260,Pinza para Abrazaderas de Líneas de Comb,4.0,PIEZA
884,BGS-8261,"Trabador de Motor VW, Audi 1.8, 1.6L FSI",2.0,PIEZA
885,BGS-8263,Juego de Arco para Rotula,0.0,JGO
886,BGS-8293,Jgo p/Montar y Desmontar Rótulas MB,0.0,JGO
887,BGS-8302,"Trabador para BMW Mini, Renault",1.0,JGO
888,BGS-8303,"Trabador para Opel 1.0, 1.2, 1.4L",0.0,JGO
889,BGS-8315,Purgador de Frenos por Aire Comprimido,0.0,JGO
890,BGS-8316,Juego de Adaptadores para BGS-8315,0.0,JGO
891,BGS-8320,Reparador de Clutch Doble para VAG DSG,0.0,JGO
892,BGS-8377,Llaves para Filtro de Aceite 7pzas,1.0,JGO
893,BGS-8380,Mesa en X Soporte para Facias,0.0,PIEZA
894,BGS-8381,Juego de Pistola de Pintura,0.0,JGO
895,BGS-8384,Llaves para Filtro de Aceite 65-75mm 4pz,0.0,JGO
896,BGS-8386,Par de Dollies para Mover Automoviles,1.0,JGO
897,BGS-838930-MX,Plataforma Hidráulica para Moto 500Kg,0.0,PIEZA
898,BGS-8391,Engrasador de Cables Bowden (Chicote),0.0,PIEZA
899,BGS-8395,"Llaves de Filtro d/Aceite Universal 3/8""",0.0,PIEZA
900,BGS-8397,Regla de Presición para Motores 600mm,0.0,PIEZA
901,BGS-8398,Multi-Dado Gear Lock,0.0,PIEZA
902,BGS-8400-MX,Jgo Limpieza de Inyectores c/Boya,0.0,JGO
903,BGS-8401-MX,Probador de la Presión c/ Manómetro,0.0,JGO
904,BGS-8405,Juego de Ganchos para Extraer Sellos,0.0,JGO
905,BGS-8410,Extractor Universal de Rótulas 50-80mm,0.0,PIEZA
906,BGS-8420,"Llave para Bomba de Agua, GM Ecotec",0.0,PIEZA
907,BGS-8425,Medidor de Presión de Aire Acondicionado,1.0,JGO
908,BGS-8451,Juego de Ganchos 4pzas,1.0,JGO
909,BGS-8454,Herramienta p/Montaje Correas Acanaladas,0.0,JGO
910,BGS-8459,Balanceadora para Llantas de Motocicleta,4.0,PIEZA
911,BGS-8468,Probador de Fusibles,0.0,PIEZA
912,BGS-8484,"Llaves Hexagonales con Mango ""T"" 8pzas",0.0,JGO
913,BGS-8495-MX,Pistola de Calor 1500W c/Accesorios,0.0,JGO
914,BGS-8512,Llaves Hexagonales Especiales 9pzas,0.0,JGO
915,BGS-85323,Lámpara de COB-LED con Imán y Gancho,0.0,PIEZA
916,BGS-85324,Lámpara COB-LED con Imán y Gancho,0.0,PIEZA
917,BGS-85334,Lámpara Articulada de Trabajo COB-LED 5W,0.0,PIEZA
918,BGS-8547,Juego de Extractores de Tornillos 10pzas,0.0,JGO
919,BGS-8562,"Trabador Volvo 4,5,6Cil YOM 06",0.0,JGO
920,BGS-8565,Dados p/Árboles de Levas VAG1.8-2.0 TFSI,0.0,JGO
921,BGS-8569,Jarra con Boquilla para Aceite 5L,0.0,PIEZA
922,BGS-8577,Trabador de Árbol de Levas Renault,1.0,JGO
923,BGS-8578,"Trabador para Fiat, Ford y Lancia",0.0,JGO
924,BGS-8584,"Carrete con Manguera 1/2""x15m",0.0,PIEZA
925,BGS-8595,Kit Universal para Resortes de Válvulas,0.0,JGO
926,BGS-8598,Extractores Internos c/Martillo Deslizan,2.0,JGO
927,BGS-8598-MX,Extractor Universal de Housing,1.0,PIEZA
928,BGS-8615,Avellanador de Tubos 9pzas,0.0,JGO
929,BGS-8640,Recibidor de Aceite 30L,4.0,PIEZA
930,BGS-865,Jgo de Reparacion de Abolladuras,0.0,JGO
931,BGS-8656,Dados Especiales p/Birlos Antirrobo 10pz,0.0,JGO
932,BGS-8667,Juego de Llaves para Filtro de Aceite,1.0,JGO
933,BGS-8668,Pinza para Juntas de Válvulas 270mm,4.0,PIEZA
934,BGS-8688,"Lijadora Orbital Neumática 6""",2.0,JGO
935,BGS-8689,Calibrador para Discos de Frenos 60mm,1.0,PIEZA
936,BGS-869600-MX,"Trabador para GM 1.6/1.8L Cruze, Aveo",1.0,JGO
937,BGS-8697,"Trabador para Opel 1.6, 1.8L",13.0,JGO
938,BGS-8697-1-MX,Trabador para Árbol de Levas Aveo 1.6L,0.0,PIEZA
939,BGS-8721,Trabador de Árbol de Levas Opel 1.6L,9.0,JGO
940,BGS-8772,Llave de Tubo para Bujía Toyota Prius,0.0,PIEZA
941,BGS-8799,Extractor Excentrico d/Esparragos 6-19mm,0.0,PIEZA
942,BGS-8821,"Llave para Filtro de Aceite 1/2""x36mm",0.0,JGO
943,BGS-8825,Herramientas para Embrague de A/C 20pzas,3.0,JGO
944,BGS-8833,Desarmadores de Precisión y Ganchos 12pz,0.0,JGO
945,BGS-8853,"Lijadora Neumática de Correa 3/8""",2.0,PIEZA
946,BGS-8858,"Mascara de Soldador ""Calavera""",1.0,PIEZA
947,BGS-8867,Herramienta para Cadenas de Moto 21pzas,0.0,JGO
948,BGS-8874,Trabador para Ford 2.0 Ecoboost,0.0,JGO
949,BGS-8882,Trabador para VAG 1.2 TSI/TFSI,0.0,JGO
950,BGS-8889,Kit para Sensores de Llantas (TPMS),0.0,JGO
951,BGS-890,Martillo con Cabeza de Cobre 454g,0.0,PIEZA
952,BGS-8914,Llaves Combinadas Funcion Matraca 13pzas,0.0,JGO
953,BGS-8922,"Trabador para VAG 1.0, 1.2, 1.4L",3.0,JGO
954,BGS-8928,"Trabador para VAG 1.8, 2.0L FSI, TFSI",1.0,JGO
955,BGS-8964,Extractor de Poleas Universal 42 a 82mm,1.0,PIEZA
956,BGS-8972,Llave para Ajuste de Bomba de Agua 41mm,12.0,PIEZA
957,BGS-8973,Llave p/Ajustar Bomba de Agua Opel 46mm,1.0,PIEZA
958,BGS-8981,"Dado para Caliper de Frenos VAG, Porsche",0.0,PIEZA
959,BGS-8989,Equipo para Sand Blaster 75L,4.0,JGO
960,BGS-8991,Dado para Tapones de Drenaje 8 y 10mm,28.0,JGO
961,BGS-8993,Pinza para Medición c/Perforador d/Cable,1.0,JGO
962,BGS-900,Juego de Machuelos y Tarrajas 110pzas,0.0,JGO
963,BGS-9023,"Herramienta para Clutch de Volvo, Ford",3.0,JGO
964,BGS-9023-MX,Herramienta p/Clutch Doble Powershift,0.0,JGO
965,BGS-9041,"Surtido de Grapas Ford, Mazda, GM 415pza",2.0,JGO
966,BGS-9069,Probador de Vacío y Bomba de Gasolina,1.0,JGO
967,BGS-9104,"Juego de Dados 3/8"" 12pzas",0.0,PIEZA
968,BGS-9105,"Juego de Dados 3/8"" MM 12ptas 12pzas",0.0,JGO
969,BGS-9106,"Juego de Dados 1/2"" 11pzas",0.0,PIEZA
970,BGS-9107,"Juego de Dados 12 ptas 1/2"" 11pzas",0.0,PIEZA
971,BGS-9137,"Juego de Palancas para Mecánico, 4pzas",1.0,JGO
972,BGS-9159,Reposicionador de Pistón de Frenos 6pzas,0.0,PIEZA
973,BGS-9172,Herramienta para Conectores VW/Audi/Seat,0.0,PIEZA
974,BGS-919002-MX,Arrancador de Baterías Profesional 900A,0.0,PIEZA
975,BGS-92189,Trabador para Ford Zetec y Zetec SE Ecob,0.0,JGO
976,BGS-9235,Puente para Levantar Motores XL 500Kg,0.0,PIEZA
977,BGS-92460-MX,Prensa Hidráulica 20Ton,0.0,PIEZA
978,BGS-9290,Llaves Combinadas MM 25pzas,0.0,JGO
979,BGS-932600-MX,Trabador para Dodge/Chrysler 3.0 - 3.6L,0.0,JGO
980,BGS-9336,Juego de Dados Especiales Ribe 3pzas,0.0,JGO
981,BGS-9339,Centrador Transmisión VAG DSG 06/2011,0.0,PIEZA
982,BGS-9376,Llave para Tapa de Bomba de Combustible,0.0,PIEZA
983,BGS-9386,"Dado para Cabeza de Cilindro VAG 1/2""",2.0,PIEZA
984,BGS-9396,Juego Universal para Brazos Pitman 5pzas,0.0,JGO
985,BGS-9424,Llave para Tapón de Carter para VW,1.0,PIEZA
986,BGS-9427-1,Insertos Roscado M8x1.0mm 25pzas,0.0,JGO
987,BGS-9440,Medidor de Desgaste d/Balatas de Frenos,5.0,PIEZA
988,BGS-9455,Extractor de Bobinas de Encendido VAG,3.0,PIEZA
989,BGS-9459,Juego de Nudos de Impacto 3pzas,0.0,JGO
990,BGS-9460,Aceite Neumático Especial 100ml,1.0,PIEZA
991,BGS-9462,Extractor de Balero y Buje Piloto 31mm,1.0,PIEZA
992,BGS-9464,"Llave para Polea de Cigüeñal Honda, Acur",0.0,PIEZA
993,BGS-9491-MX,Trabador Ford 3.5L y 3.7L,0.0,JGO
994,BGS-9492-MX,Trabador para GM 3.6L,0.0,JGO
995,BGS-9493,Trabador Árbol de Levas VW 3pzas,0.0,JGO
996,BGS-9537,Palanca de Montaje Transmisión DSG/VAG,0.0,PIEZA
997,BGS-957,"Torquímetro 1/2"" 40-210Nm",0.0,PIEZA
998,BGS-9578,Portaherramientas Neumáticas,0.0,PIEZA
999,BGS-9582,Bomba Manual 500ml,0.0,PIEZA
1000,BGS-962,"Torquímetro 3/8"" 7-105Nm",0.0,PIEZA
1001,BGS-9651,Lámpara de Trabajo COB-LED 3W,0.0,PIEZA
1002,BGS-966,"Torquímetro 3/8"" 20-110Nm",0.0,PIEZA
1003,BGS-9669,Probador d/Compresion d/Cilindros 300PSI,1.0,JGO
1004,BGS-9685,Juego de Puntas para Taladro 3pzas,0.0,JGO
1005,BGS-971,"Torquímetro 1/2"" 70-350Nm",0.0,PIEZA
1006,BGS-9756,"Juego de Dados con Punta Mortorq 3/8""",0.0,JGO
1007,BGS-98098,Probador de Presión de Radiador y A/C,0.0,JGO
1008,BGS-98218,"Trabador p/Ford Zetec, Zetec SE, Focus",0.0,PIEZA
1009,BGS-9880,"Maneral Articulado 3/8""x450mm",0.0,PIEZA
1010,BGS-9897,Gorra de Beisbol con Luz LED,0.0,PIEZA
1011,BGS-9910,Bomba de Succión de Aceite 12V,0.0,JGO
1012,BGS-9941-MX-KIT,Kit Master Soldadora Inversora MMA/TIG,0.0,JGO
1013,BGS-9947,Guantes para Mecánico #8 M,0.0,PAR
1014,BGS-9950,Guantes de Trabajo L,0.0,PAR
1015,BGS-9951-MX,Guantes de Trabajo  #10 XL,0.0,PAR
1016,BGS-9953,Guantes de Mécanico #9 L,0.0,PAR
1017,BGS-9954,Guantes de Mécanico #10 XL,0.0,PAR
1018,BGS-9956,Guantes para Mecánico #11 XXL,0.0,PAR
1019,BGS-997,Llave para Filtro de Aceite 15ptas,0.0,PIEZA
1020,BGS-998,Llave para Filtro de Aceite de Toyota,24.0,PIEZA
1021,BGS-9980,Recibidor de Aceite con Boquilla 15L,2.0,PIEZA
1022,BGS-9981,Recolector de Aceite 8L,0.0,PIEZA
1025,HD555K-B3,"Rotomartillo 1/2"" 550W con Caja",0.0,JGO
1028,BOERM712,Llaves Combinadas con Matraca MM 12pzas,0.0,JGO
1029,BPL4OPENB,Rampa 2 Postes s/Travesaño 9000Lb Azul,0.0,PIEZA
1030,BPL4OPENR,Rampa 2 Postes s/Travesaño 9000Lb Roja,0.0,PIEZA
1031,BPL4PROB,Rampa de 2 Postes 9000Lb Azul,0.0,PIEZA
1032,BPL4PROR,Rampa de 2 Postes 9000Lb Roja,2.0,PIEZA
1033,BPL501,Juego de Pinzas Combinadas 5pzas,0.0,JGO
1034,BPR703,"Juego de Matracas 1/4"", 3/8"" y 1/2""",0.0,JGO
1035,BPWBT460B,Balanceadora para Ruedas de Camión,0.0,PIEZA
1036,BPWCOMBO,Balanceadora + Desmontador Combo,1.0,JGO
1037,BSGDMR6,Desarmador de Matraca c/6 Puntas,0.0,PIEZA
1038,MCAL6A,Calibrador Vernier Electronico 150mm,5.0,PIEZA
1039,OFCA1KT,Llave p/Filtro de Aceite 58-110mm,0.0,PIEZA
1040,RG430A,Calibrador Digital para Frenos de Disco,0.0,PIEZA
1043,BF31209,"Llave Combinada 3/8""",1.0,PIEZA
1044,BF31210,"Llave Combinada 7/16""",1.0,PIEZA
1045,BF31216,"Llave Combinada 5/8""",1.0,PIEZA
1048,7600,Opresor de Resortes Manual,0.0,PIEZA
1051,CB-CAS-AM,Casco Protector Amarillo,1.0,PIEZA
1054,10005MFRMH,"Torquímetro Mecánico 1"" 1000ft/lb",0.0,PIEZA
1055,1002MFRMH,"Torquímetro Micrómetro 3/8"" 10-100ft/lb",0.0,PIEZA
1056,2503MFRMH,"Torquímetro Mecánico 1/2"" 250ft/lb",0.0,PIEZA
1057,2503TAA-CDI,"Torquímetro Electrónico 1/2"" 250ft/lb",0.0,PIEZA
1058,6004MFRMH,"Torquímetro Mecánico 3/4"" 500ft/lb",0.0,PIEZA
1061,140.0008,Punta de Contacto para MIG 0.6,0.0,PIEZA
1062,3035/M,Cortadora Power Plasma Inverter,0.0,PIEZA
1063,7636,Accesorio para Arandelas Triangulares,0.0,PIEZA
1064,EVO 160M COMBI,Soldadora de Microalambre 160 AMP,0.0,PIEZA
1065,GYS086111,Rollo de Microalambre .06 de 5Kg.,0.0,PIEZA
1066,SYNSTAR 200M,Soldadora MIG/MAG,0.0,JGO
1069,BCA-01,Boya Deluxe con 18 Accesorios Rosa,1.0,JGO
1070,BCA-03,Boya con 18 Accesorios,0.0,JGO
1071,BCA-AZ,Boya Deluxe con 18 Accesorios Azul,0.0,JGO
1072,BCA-NE,Boya Deluxe con 18 Accesorios Negro,0.0,JGO
1073,BCA-RO,Boya Deluxe con 18 Accesorios Rojo,0.0,JGO
1074,BM-01,Boya con Manómetro y Adaptadores,16.0,JGO
1075,BM-02,Boya para Lavado y Medir Presión de Bomb,10.0,JGO
1076,BMA-01,Boya Deluxe con Manómetro y Adaptadores,9.0,JGO
1077,BMA-02,Boya Deluxe 2 en 1 Rosa,0.0,JGO
1078,BMA-02AZ,Boya Deluxe 2 en 1 Azul,2.0,JGO
1079,BMA-02NE,Boya Deluxe 2 en 1 Negro,2.0,JGO
1080,BMA-02RO,Boya Deluxe 2 en 1 Rojo,3.0,JGO
1081,BMA-AZ,Boya Deluxe c/Manómetro y Adaptadores Az,10.0,JGO
1082,BMA-NE,Boya Deluxe c/Manómetro y Adaptadores Ne,13.0,JGO
1083,BMA-RO,Boya Deluxe c/Manómetro y Adaptadores Ro,8.0,JGO
1084,BS-01,Boya para Lavado de Inyectores,0.0,PIEZA
1085,BSA-01,Boya Deluxe para Lavado de Inyectores,0.0,PIEZA
1086,BSA-AZ,Boya Deluxe Lavado de Inyectores Azul,4.0,PIEZA
1087,BSA-NE,Boya Deluxe Lavado de Inyectores Negro,4.0,PIEZA
1088,BSA-RO,Boya Deluxe Lavado de Inyectores Rojo,0.0,PIEZA
1089,CC-01,Compresómetro p/Cámara de Combustión 7pz,19.0,JGO
1090,CC-02,Compresómetro p/Cámara de Combustión 5pz,0.0,JGO
1091,CC-AD10,Adaptador 10mm para Compresómetro,6.0,PIEZA
1092,CC-AD12,Adaptador 12mm para Compresómetro,17.0,PIEZA
1093,CC-AD14,Adaptador 14mm para Compresómetro,1.0,PIEZA
1094,CC-ADT,Adaptador TIIDA para Compresómetro,4.0,PIEZA
1095,CC-AFT,Adaptador Ford Triton para Compresómetro,7.0,PIEZA
1096,CC-EXT14,Extensión 14mm x 184mm p/Compresómetro,4.0,PIEZA
1097,CD90-14,"Codo 90° de 1/4"" NPT a 1/4""",7.0,PIEZA
1098,CD90-18,"Codo 90° de 1/8"" NPT a 1/8""",12.0,PIEZA
1099,CH-02,Adaptador Recto Grande (Chrysler y GM),3.0,PIEZA
1100,CH-02C,Adaptador Recto Grande (Chrysler y GM),6.0,PIEZA
1101,CMP-1418,"Campana de 1/4"" Ext y 1/8"" Int NPT",1.0,PIEZA
1102,CMP-1818,"Campana de 1/8"" Ext y 1/8"" Int NPT",15.0,PIEZA
1103,CMP-3818,"Campana de 3/8"" Ext y 1/8"" Int NPT",1.0,PIEZA
1104,CMPC-18,"Campana de 1/8"" Int Cuerda Recta Chica",1.0,PIEZA
1105,CMPG-18,"Campana de 1/8"" Int Cuerda Recta Grande",1.0,PIEZA
1106,CMPR-1418,"Campana Reductor de 1/4"" a 1/8""",13.0,PIEZA
1107,CP-1818,"Cople 1/8"" x 1/8""",3.0,PIEZA
1108,CPS-05,Juego de Cables para Soldar 5m,0.0,PIEZA
1109,CPS-10,Juego de Cables para Soldar 10m,4.0,PIEZA
1110,CT-PV,Probador de Válvulas IAC,0.0,JGO
1111,D-01,Desarmador Saca Pivotes (Schrader),0.0,PIEZA
1112,DIS-01,Distribuidor (Repartidor),10.0,PIEZA
1113,DVAC-58,Dado para Tuerca de Suspensión WV y Audi,51.0,PIEZA
1114,EMP-04,Empapeladora para 4 Rollos,18.0,PIEZA
1115,ES-14,"Espiga 1/4""",7.0,PIEZA
1116,ES-18,"Espiga 1/8""",10.0,PIEZA
1117,ES-NEU,"Espiga Neumática 1/4""",1.0,PIEZA
1118,ESCMP-14,"Espiga Campana 1/4""",0.0,PIEZA
1119,F-01,Adaptador Recto Chico (Ford),4.0,PIEZA
1120,F-01C,Adaptador Recto Chico (Ford),6.0,PIEZA
1121,F-02,"Tapón para Ford 1/2""",0.0,PIEZA
1122,H-02,Adaptador Banjo Honda 1 Ceja,12.0,PIEZA
1123,H-03,Adaptador Banjo Honda 2 Cejas,18.0,PIEZA
1124,JPA-10,Juego Conexiones Medidor Presion Aceite,3.0,JGO
1125,JPI-906,Pulsador de 6 Inyectores,0.0,JGO
1126,JS-3047-30-MX,Torre para Camión 15Ton,0.0,PIEZA
1127,JS-3047-31-MX,Cabezal para Torre 15Ton,0.0,PIEZA
1128,KGMC-36,Kit de Trabador para GM 3.6L,1.0,JGO
1129,KGMC-36P,Kit de Trabador para GM 3.6L,0.0,JGO
1130,KGMC-36PA,Kit de Trabador para GM 3.6L Amarillo,31.0,JGO
1131,KGMC-36PG,Kit de Trabador para GM 3.6L Gris,0.0,JGO
1132,KGMC-36PN,Kit de Trabador para GM 3.6L Negro,9.0,JGO
1133,KGMC-36PR,Kit de Trabador para GM 3.6L Rojo,4.0,JGO
1134,KTMF-16,Trabador para Ford Fiesta/Focus 1.6L,47.0,JGO
1135,LBAC-41,Llave para Ajuste de Bomba de Agua 41mm,0.0,PIEZA
1136,LBAC-46,Llave para Ajuste de Bomba de Agua 46mm,12.0,PIEZA
1137,LI-1PJ,Lámpara de Secado Infrarrojo 1 Panel,2.0,PIEZA
1138,LI-1PJ110,Lámpara d/Secado Infrarrojo 1 Panel 110V,0.0,PIEZA
1139,LI-2PJ,Lámpara de Secado Infrarrojo 2 Paneles,0.0,PIEZA
1140,LI-2PJ110,Lámpara Secado Infrarrojo 2 Panel 110V,0.0,PIEZA
1141,LI-3PJ,Lámpara de Secado Infrarrojo 3 Paneles,0.0,PIEZA
1142,LI-3PJ110,Lámpara Secado Infrarrojo 3 Panel 110V,0.0,PIEZA
1143,LPC-32,Llave Pata de Cuervo 32mm,3.0,PIEZA
1144,M-01,Manómetro para Boya y Presurizado,5.0,PIEZA
1145,M-02,Manómetro para MC-01,20.0,PIEZA
1146,M-03,Manómetro para Compresometro,0.0,PIEZA
1147,MC-01,Manómetro p/Medir Presión d/Bomba Gasoli,36.0,JGO
1148,MP-01,Manómetro para Medir Presión de Aceite,14.0,JGO
1149,MPRF-01,Manguera p/Medir Presión en Riel Ford,0.0,PIEZA
1150,N-01,Espiga de Nissan y VW,6.0,PIEZA
1151,N-01C,Espiga de Nissan y VW,5.0,PIEZA
1152,N-02,"Adaptador ""T"" de Nissan",6.0,PIEZA
1153,N-02C,"Adaptador ""T"" de Nissan",6.0,PIEZA
1154,NI-14,"Niple de 1/4""",8.0,PIEZA
1155,NI-1418,"Niple 1/4"" x 1/8""",8.0,PIEZA
1156,NIL-1818,"Niple Largo de 1/8""x1/8"" NPT",19.0,PIEZA
1157,O-01,O'rings pequeños (Para Coples) 10pzas,0.0,JGO
1158,O-02,O'rings Grandes (Para Boyas) 5pzas,0.0,JGO
1159,P-02,Ponchador para Bote Presurizado,18.0,PIEZA
1160,P-04,Jgo de Desconectores Pacman 4pzas,6.0,JGO
1161,PC-01,Presurizado 2 en 1 con Adaptadores,11.0,JGO
1162,PC-02,Presurizado 2 en 1 con Adaptadores,6.0,JGO
1163,PCDI-02,Equipo p/Lavado de Inyectores Diésel,1.0,JGO
1164,PDVA-01,Vacuómetro/Probador de Vacío Automotriz,36.0,JGO
1165,PDVA-02,Vacuómetro/Probador de Vacío Automotriz,31.0,JGO
1166,PHPBNEO141,"Pija c/Arandela Punta de Broca 14x1""",0.0,PIEZA
1167,PKI-02,Probador 3 en 1 INMO,192.0,PIEZA
1168,PMA10112,"Pija Aglom. PH CDA STD Drywall 10x1-1/2""",0.0,PIEZA
1169,PMA6112,"Pija Aglom. PH CDA STD Drywall 6x1-1/2""",0.0,PIEZA
1170,PMA6114,"Pija Aglom. PH CDA STD Drywall 6x1-1/4""",0.0,PIEZA
1171,PMA634,"Pija Aglom. PH CDA STD Drywall 6x3/4""",0.0,PIEZA
1172,PT-01,Tapón de Ponchador de Bote,3.0,PIEZA
1173,Q-01,Cople Rápido,88.0,PIEZA
1174,R-02,Regulador para Boya,0.0,PIEZA
1175,R-03,Regulador para Presurizado,0.0,PIEZA
1176,RPA-02,Rampa para Autos 3Ton 2pzas,2.0,PAR
1177,T-01,Juego para TBI,0.0,JGO
1178,T-03,Juego para TBI Recto,0.0,JGO
1179,T-05,"Adaptador ""T"" para TBI GM (Hueso)",6.0,PIEZA
1180,T-05C,"Adaptador ""T"" para TBI GM (Hueso)",0.0,PIEZA
1181,TRAV-16,Trabador para Aveo,154.0,PIEZA
1182,TRAV-16P,Trabador para Aveo,33.0,PIEZA
1183,VA-01,Válvula de Palanca,0.0,PIEZA
1184,VA-02,Válvula de Mariposa,8.0,PIEZA
1185,VARI141,"Varilla roscada 1/4"" x 1m",0.0,PIEZA
1186,VW-01,Adaptador Recto Mediano (VW y Nissan),6.0,PIEZA
1187,VW-01C,Adaptador Recto Mediano (VW y Nissan),6.0,PIEZA
1190,A14,Lavadora de Frenos,0.0,PIEZA
1191,B97,Opresor de Resortes de Pared,0.0,PIEZA
1192,BAR,Bancos de Alineación 4pzas,0.0,JGO
1193,BTC,Banco de Trabajo con Cajón,0.0,PIEZA
1194,FIL-02,Filtros p/Lavadora de Frenos Canasaro,1.0,JGO
1195,LPS,Lavadora de Partes,0.0,PIEZA
1198,CP772H,"Pistola de Impacto 3/4"" 949Nm",0.0,PIEZA
1199,CP7736,"Pistola de Impacto 1/2"" 665ft/lb",0.0,PIEZA
1202,20399/079,Batería de Cocina Aluminio Negro 38pzas,0.0,JGO
1203,20399/779,Batería de Cocina Aluminio Rojo 38pzas,1.0,JGO
1204,B3029182,Sartenes T-Fal Essential 2pzas,0.0,JGO
1205,CO-123879.07,Batería de Cocina Plaza Café Menta 7pzas,1.0,JGO
1206,CO-123880.07,Batería de Cocina Plaza Café Azul 7pzas,4.0,JGO
1207,CO-21344,Juego de Cuchillos y Auxiliares 15pzas,8.0,JGO
1208,CO-2LDR-003,Escurridor de Trastes 2 Niveles 52cm,0.0,PIEZA
1209,CO-2LLDR-004,Escurridor de Trastes 2 Niveles 67cm,0.0,PIEZA
1210,CO-60916,Olla Express Clásica 7L de Aluminio,1.0,PIEZA
1211,CO-85115A,Batería Alfa Azul 11pzas,0.0,JGO
1212,CO-85115R,Batería Alfa Rojo 11pzas,0.0,JGO
1213,CO-85115RA,Batería Alfa Rojo/Azul 11pzas,0.0,JGO
1214,CO-85123A,Sartenes de Cerámica Alfa Azul 3pzas,0.0,JGO
1215,CO-85123R,Sartenes de Cerámica Alfa Rojo 3pzas,0.0,JGO
1216,CO-85124G,Batería Alfa Gris/Azul 6pzas,0.0,JGO
1217,CO-85124N,Batería Alfa Negro 6pzas,0.0,JGO
1218,CO-9000F,Batería de Cocina Vankoft Morado 12pzas,0.0,JGO
1219,CO-ACM-16,Batería de Aluminio Cook Master 16pzas,0.0,JGO
1220,CO-ACM-16-RZ,Batería de Aluminio Rojo Zafiro 16pzas,0.0,JGO
1221,CO-ACM-16GZ,Batería de Aluminio Gris Zafiro 16pzas,0.0,JGO
1222,CO-AHSAA-3,Juego de Sartenes Alfa Azul 3pzas,0.0,JGO
1223,CO-AHSACA-3,Sartenes Cerámica Alfa Azul 3pzas,0.0,JGO
1224,CO-AHSACN-3,Sartenes Cerámica Alfa Negro 3pzas,0.0,JGO
1225,CO-AHSACR-3,Sartenes Cerámica Alfa Rojo 3pzas,0.0,JGO
